Channel,message,category
Cucumber,"i need some interim solution for now though, was hoping for the 'skip test' option :)",sadness
Cucumber,"yeah, ive added tags and removed those tests from main suite. I really need them ran though :(",sadness
Cucumber,"the failures are intermittent, so it'd be a shame to have the tests removed just because the service is flaky",anger
Cucumber,let it fail so the business prioritizes fixing it? :),anger
Cucumber,lol its out of my reach sadnessly,sadness
Cucumber,@dkowis I like that advice!,love
Cucumber,"So when people come by and are like, Why are your tests failing? Because I need to insulate myself from crappy services",anger
Cucumber,and they don't care about failing tests?,surprise
Cucumber,all marked with 1 failure :D,sadness
Cucumber,"fortunately, given that its only one test, it should be relatively easy to fix?",joy
Cucumber,so i dont think i can mock that one and leave the rest,fear
Cucumber,Your tests are trying to tell you something. ,anger
Cucumber,They\u2019re whispering \u201cyour app is hard to test. make it easy to test\,anger
Cucumber,nailed it!,joy
Cucumber,"Solve the fundamental problem, stop looking for workarounds ;-)",joy
Cucumber,i need the server dev to work out the setup/architecture for mock server though,fear
Cucumber,no point working with flaky services,anger
Cucumber,"after all, they are not what im testing",sadness
Cucumber,how can I achieve this -- a little details would help ,fear
Cucumber,i checked prototype and singleton but they did not work,sadness
Cucumber,so how can we do that.. let me upload my sample code.,fear
Cucumber,is there a way to detect if a feature is finished?,fear
Cucumber,Why do you need to detect if a feature is \finished\?,anger
Cucumber,or why not use @AfterClass,anger
Cucumber,theres no @AfterClass in cucumber jvm,sadness
Cucumber,"Ah, because it hasn't been finished yet",sadness
Cucumber,"yep, sadnessly",sadness
Cucumber,i think i tried all the possible options already ;),sadness
Cucumber,"welp, pull requests accepted, heh",joy
Cucumber,zsolt fabok's suggestion is really good if you need to do something at the end of suite,joy
Cucumber,"but my suite takes 3 hours, so i need to do something at the end of feature instead :)",sadness
Cucumber,Might have to do the much uglier \And the server is stopped\ steps for now,anger
Cucumber,"less than ideal, and it bleeds things that shouldn't be in the feature, but it's where we're at right now",anger
Cucumber,"ill play around with it some more, i need to work out something anyway :)",joy
Cucumber,good luck,love
Cucumber,ill definitely try :),joy
Cucumber,Has anyone successfully run cucumber-jvm using testng running each user case in a separate thread?,fear
Cucumber,cucumber-jvm is not thread-safe,fear
Cucumber,dont think that'll work,fear
Cucumber,so for now if I want to use gherkin in java either I run my tests serialized or look for another option other than cucumber-jvm?,fear
Cucumber,some tests are inherently slow,sadness
Cucumber,and splitting the suite in different groups doesn't look like a good option,sadness
Cucumber,e2e tests can indicate a lack of trust in lower level tests,fear
Cucumber,or a lack of coverage in those lower level tests,fear
Cucumber,"There are no lower level tests I'm afraid, legacy code, hard to add unit testing there, also monolythical app so no API tests",sadness
Cucumber,"yeah, that's hard",sadness
Cucumber,just slow,sadness
Cucumber,sometimes you're not in position to add lower level tests ,sadness
Cucumber,my job as an automation engineer is to create e2e/ui tests,sadness
Cucumber,Yeah that's a sign of sickness in the organization,anger
Cucumber,They're going to have a bad time,fear
Cucumber,that's a silo,sadness
Cucumber,"sorry, man :(",sadness
Cucumber,"Advocate for the change, not that it may get you anywhere",sadness
Cucumber,I'm currently in a similar area right now,sadness
Cucumber,and it's unbelievably frustrating,anger
Cucumber,"Hi guys, is there a cucumber-jvm branch accepting the Pickle type Steps from ast?",fear
Cucumber,hi @demos74dx. As far as I know there isn't yet. Are you interested in helping out with it?,sadness
Cucumber,I think it needs a pretty big refactor to accomplish though,fear
Cucumber,you could do worse than use http://github.com/cucumber/cucumber-ruby-core for reference,anger
Cucumber,took us about 18 months!,surprise
Cucumber,I'll take a look thanks,love
Cucumber,"So, I've been wondering though, or maybe I'm \cuking it wrong\",fear
Cucumber,@mattwynne Am I correct in assuming that everything in  core.cucumber.runtime.model is trash and replaced by ast?,fear
Cucumber,also what does ast stand for?,fear
Cucumber,"Hello,\nCan we run Scenarios or feature in parallel with only one runner class ?  ",fear
Cucumber,I'm having problems printing reports on Cucumber JVM ,fear
Cucumber,I'm trying to use  https://github.com/damianszczepanik/cucumber-reporting  the reports are generated but no data is printed on them it shows 0 results,sadness
Cucumber,did this happen to anyone?,fear
Cucumber,i get it whenever the build fails,fear
Cucumber,"the reports are generated and I have tests that had failed and pass but I get non of this in the reports, the json file is generated and it has the pertinent data, the reports are just not showing it",sadness
Cucumber,"and i had to specify the path to the file, otherwise the reports would return blank because i had other json files in there",sadness
Cucumber,"I'm using maven by the way, and it is using that file because if I rename it brakes",sadness
Cucumber,yes I am!,surprise
Cucumber,"from what I can see is not injecting the data into the html, but that's strange because I can't even generate the report without the  JSON file with the data that it needs to populate the actual report, I'm so confused ",fear
Cucumber,"It\u2019s a fairly big task to refactor Cucumber-JVM to use Gherkin3 - @brasmusson did it for Cucumber-Ruby. I have a branch on Cucumber-JVM that started the work, but there is still lots to do",fear
Cucumber,im interested ,joy
Cucumber,"@Simon-Kaz I'll get one to you tomorrow, nothing is checked in atm and the code is a cluster fuck (pardon my french)",anger
Cucumber,I'm also referring to the ruby implementation wherever possible to mirror some of that.  Not so great at ruby so it's more of a guideline than anything for me.,sadness
Cucumber,"@Simon-Kaz I'm also fairly new to Git and contributing to OpenSource, been doing my own thing on Subversion for far far too long.",fear
Cucumber,"So I'm still working out the kinks there, like I \think\ I made my own branch on my fork, but it's not showing up on git for w/e reason.  I'll google all that stuff and get it up after I can clear my mental cache from this bit of refactoring I'm working on.",sadness
Cucumber,im an automation specialist (whatever that means haha) for appium and selenium,joy
Cucumber,appium is pretty much selenium so its refreshing ;),joy
Cucumber,"@Simon-Kaz but I want cucumber-jvm to be a plugin when it launches, so I kinda need this working first.",fear
Cucumber,"nice, I've done something similar with spring, but only really done android via selendroid so far.",joy
Cucumber,appium's great,joy
Cucumber,lots of potential,joy
Cucumber,works well with cucumber-jvm too :),joy
Cucumber,appium is an amazing tool for that,joy
Cucumber,oh that's nice,joy
Cucumber,but it didn't capture the time argument,fear
Cucumber,im still kicking myself for not going,sadness
Cucumber,should've shelled the cash out of my savings,sadness
Cucumber,"I was a bit off because I couldn't see what I was doing on my own screen, only the projector...flying blind",sadness
Cucumber,I'll  give it a try thank you so much! ,love
Cucumber,"@demos74dx thank you for the offer, but I would probably prefer to continue work on my own branch",love
Cucumber,@demos74dx What would users be able to do if Cucumber was a `@Rule` and not a `@RunWith`?,fear
Cucumber,"So their could maintain their own @RunWith configurations, and then simply add the @Rule to the Test Class meant to be run, this is where things get a little weird and (maybe) impossible for cucumber-jvm to do it",fear
Cucumber,"but as you can see, these rules require statement and description to be already implemented at some point",fear
Cucumber,not sure if there's a way to do so within the rule format,fear
Cucumber,"So basically, if Cucumber used rules, it would interfer less with other junit extensions?",fear
Cucumber,or coexist more easily?,fear
Cucumber,"granted you could still provide ways for people to integrate with spring easier, but now things much more decoupled and therefor easier to maintain",joy
Cucumber,"However, there is a whole hierarchy of features/scenarios/steps to run, and it doesn\u2019t look like a `Statement` can have children...",fear
Cucumber,you almost have to forget everything you know about modifying the runner and try to work with the (imaginary) runner already in place.,sadness
Cucumber,Which again means that IDEs wouldn\u2019t be able to report results nicely,sadness
Cucumber,"yeah, I'm not 100% sure it's cracked up to work with cucumber-jvm, because it's such a strange usecase for JUnit",fear
Cucumber,That would be excellent. Thanks!,love
Cucumber,or I solve that...who knows :worried: ,fear
Cucumber,"I almost might have to do that first actually, I am getting paid by somebody to produce results, so I kinda need to get a solution out the door(even if temporary) sometime in the next few days.",fear
Cucumber,"I'll get back to work, so close to running pickles :)",joy
Cucumber,does anybody know which version my IDE should be at for working on this?,fear
Cucumber,"Is anybody familiar with the direction the Keyword annotations are going in?  @Given, @When, @Then, etc?",fear
Cucumber,Does someone know how to integrate spoon and cucumber ?,fear
Cucumber,"Hi ways, any of you know how to use cucumber in a playframework project (scala)",fear
Cucumber,"Solved, thanks anyway",love
Cucumber,"@aslakhellesoy hey, I got sidelined from cucumber for a few days, back on it now.  I noticed these step def annotations were removed in master and I was wondering how they would get implemented, in the mean-time for my code I just made a @StepDef annotation that replaces all of them.  ",fear
Cucumber,"@aslakhellesoy  I'm not seeing any advantage to TreeMap over HashMap in RuntimeGlue.  TreeMap would be useful if ordering was necessary but I don't see any need for ordering here.  TreeMap access is O(log n) and HashMap access is O(1), we could see about a 10x increase in speed while accessing StepDefinitions if we switched.",anger
Cucumber,Yeah maybe. Sounds like bikeshedding to me ;-),anger
Cucumber,Is there any way to make intellij show colored output? like not monochrome?,fear
Cucumber,"@aslakhellesoy thanks.  I'm wondering if anyone has solved the problem of testing Angular apps from Java. \nBTW, love the Cucumber books",joy
Cucumber,Thanks!,love
Cucumber,"@aslakhellesoy some team members are suggesting using Cucumber-JS.  I think that would mean either having multiple test suites, or losing a fair amount of investment in Java",fear
Cucumber,"I don't expect all tests to be from the front end, but I would expect to be able to do this.  We can do this from DOM, but AngularJS doesn't really work that way.",sadness
Cucumber,"And while you can test at unit and component level, there's always a chance that they don't work together as expected",fear
Cucumber,It's perhaps more of a webdriver issue - just wondered if anyone else has had and solved a similar problem,fear
Cucumber,"@otoniel-isidoro-sofist - Thanks, yes I saw that.  It is in JavaScript rather than Java, but it might end up being what we need to use.  Trying to avoid either having multiple test suites, or losing a fair amount of investment in Java",fear
Cucumber,"Yes.  Thanks for your time today @aslakhellesoy.\nIf it's of any interest, the content here looks like it should be of help in my case https://dzone.com/articles/webdriver-and-angularjs",love
Cucumber,not glue but clue :),joy
Cucumber,@yevgenys sorry you\u2019d have to read the source code I\u2019m afraid,fear
Cucumber,"i see, ok thx ",love
Cucumber,Hi All I need help on this.,fear
Cucumber,"Hi All, I need help on how to organise my step definition in cucumber jvm framework.",fear
Cucumber,"I just gave the opportunity to cucumber-jvm again, but for me is really really important that the tests can execute in parallel. Most of the tests are e2e, wether they're loading a webdriver instance or attacking an API. Switching to jbehave, after researching a bit I think I'll find greener fields there.",sadness
Cucumber,Can any body help me how to create an executable jar out of cucumber-maven project,fear
Cucumber,i tried with 'maven-shade-plugin' but the created jar does not contain files under 'test' folder. ,sadness
Cucumber,Hi folks.  Does anyone know where I should put @Before(\@Firefox\) tags?  I can't find very much cohesive information on it.  Intention is to be able to control which webdriver to use for any given test run.\nIt's very possible that this would be better achieved using configuration or Dependency Injection.  Guidance much appreciated :),fear
Cucumber,"For example, The Cucumber Book for Java - which is great btw ;) suggests using\n@Before(\@admin\)\npublic void logInAsadnessmin() { ... }\nI'm not sure where should/could the code go, and when is it executed?",fear
Cucumber,not sure if you've gotten to the dep injection part,fear
Cucumber,"Thanks @Simon-Kaz.  Yes, it could be that I didn't realise that Dependency Injection was required.  I'll re-read",sadness
Cucumber,"hi, i am running into cucumber-spring-1.2.4 vs spring-boot-1.3.0 issues.  http://pastebin.com/KxVyNsRK (java.lang.ArrayStoreException: sun.reflect.annotation.TypeNotPresentExceptionProxy)",fear
Cucumber,i take it cucumber-jvm needs to catch up with the recent spring boot release? or am i running into a more obscure issue here?,fear
Cucumber,"hey guys,\nI am new in cucumber, but I need to use this(cucumber-jvm + appium) in my project. I installed all this stuff and don't know what to do. I general I understand , but in my project some programmer write some code and there a lot of classes. I confused. Can somebody explain this, or at least send me some helpful articles, I read a lot, but still stuck on this\nThank you very much!",fear
Cucumber,var code = \thank you!\;\n\n\n \n\n\n,love
Cucumber,```\nthank you!\n\n```\n,love
Cucumber,"As you\u2019ll see from my comment today, gradle swallows cucumber's STDOUT. Any idea how to make it not do that?",fear
Cucumber,(I don\u2019t know gradle),sadness
Cucumber,"@aslakhellesoy I still have questions about documentation\nFOR EXAMPLE, I have next code:\n```\n",fear
Cucumber,"@Simon-Kaz can you explain in two words about appium, cucumber and junit. In general I understand but still suck",sadness
Cucumber,"@aslakhellesoy thank you, man! very much. I understood",love
Cucumber,"have next problem, can someone help me?\n``` \nMessage: org.openqa.selenium.remote.UnreachableBrowserException: Could not start a new session. Possible causes are invalid address of the remote server or browser start-up failure.\n.\n.\n.\nCaused by: org.apache.http.conn.HttpHostConnectException: Connect to 127.0.0.1:4723 [/127.0.0.1] failed: Connection refused\n``` ",fear
Cucumber,"@mikolasw not Cucumber related, sorry",sadness
Cucumber,@aslakhellesoy thank you! I solve this problem,joy
Cucumber,"@aslakhellesoy also I have some problem, that I cannot open .feature file in my Android Studio",fear
Cucumber,"because when I click on the .feature file in Android Studio its opening a Notes App, and I cannot edit this",sadness
Cucumber,"I did it, thank you!",love
Cucumber,"Hi, guys. Could someone help me please to figure  what's wrong with build of my pull-request https://travis-ci.org/cucumber/cucumber-jvm/jobs/95061885\n```\n[ERROR] Failed to execute goal on project cucumber-core: Could not resolve dependencies for project info.cukes:cucumber-core:jar:1.2.5-SNAPSHOT: Failed to collect dependencies at info.cukes:cucumber-html:jar:0.2.4-SNAPSHOT: Failed to read artifact descriptor for info.cukes:cucumber-html:jar:0.2.4-SNAPSHOT: Could not transfer artifact info.cukes:cucumber-html:pom:0.2.4-SNAPSHOT from/to codehaus-snapshots (https://nexus.codehaus.org/snapshots/): nexus.codehaus.org: Unknown host nexus.codehaus.org -> [Help 1]\n```\n\n",fear
Cucumber,Why it can't deal with already existing snapshot ?\n,fear
Cucumber,"sorry, I found the root cause.\nIs there any information when it could be fixed ?",fear
Cucumber,"thank you guys, but i already solved this",joy
Cucumber,and I have next question about sendKeys(). does this method have some limitation?,fear
Cucumber,solved,joy
Cucumber,"hi, I'm new to cucumber. I need to figure out what new features/enhancements introduced in the past releases. How can I find it? I'm looking for something similar to release notes. Thanks a lot in advance..",fear
Freezing Moon - Ancient Beast,"I've noticed that it got quite popular, some nice projects are making really good use of it and I'm starting to like it as well.",joy
Freezing Moon - Ancient Beast,Not sure why I or anyone else got added. Might want to consider asking first. ,anger
Freezing Moon - Ancient Beast,"@seiyria Way to kill the vibe, you're free to leave if you want. I'm new to gitter and it suggested me people, probably that starred the project on github and might be interested in it. When I clicked add on someone it said that he was invited, so that sounds like something that has to be approved manually to me. Sorry for your inconvenience, thanks for your feedback.",anger
Freezing Moon - Ancient Beast,FF is working online so it's definitely a problem with my browser when running localhost,fear
Freezing Moon - Ancient Beast,"oh gitter, why black text on black background for the text input T.T noob mistake, not setting background-color",anger
Freezing Moon - Ancient Beast,"it's because my system colors are a bit different, but nothing a minor hack didn't fix here :) i'm gonna report a bug though",joy
Freezing Moon - Ancient Beast,cool; I've recently got into a tendency to use dark themes wherever possible,joy
Freezing Moon - Ancient Beast,"i think so too, alright bug reported",sadness
Freezing Moon - Ancient Beast,can you guide me through how to upgrade an abolished?,fear
Freezing Moon - Ancient Beast,@tukkek do you mean an ability? Abolished is a unit xD,joy
Freezing Moon - Ancient Beast,"in the issue you say only abolished have upgrades enabled, i just can't find where in the ui i can apply upgrades",fear
Freezing Moon - Ancient Beast,#869 should be fixed asap perhaps in order to make testing easier ,fear
Freezing Moon - Ancient Beast,"i see, great, let me take a look at the source code for the unit though (love how it shouts it's name when summoned btw :D)",joy
Freezing Moon - Ancient Beast,"hehe, that should help with getting people learning the unit names",joy
Freezing Moon - Ancient Beast,"well, it dies and leaves a consumable behind",sadness
Freezing Moon - Ancient Beast,"not it's gone, not sure why it didn't leave at first",surprise
Freezing Moon - Ancient Beast,"no, chrome now.. it died but it is still there, both occupying the spaces and in the turn sequence",sadness
Freezing Moon - Ancient Beast,also how are you supposed to defeat a player if the plasma shield prevents any damage from being done? i'm taking some time to check out the creatures and powers now,fear
Freezing Moon - Ancient Beast,"there's a bug currently and the plasma indicator doesn't gets revealed anymore under the dark priest after using some plasma, which makes things a bit more confusing",sadness
Freezing Moon - Ancient Beast,"a lot of small bugs like that which need to be crushed in order to get things back on track, sigh",sadness
Freezing Moon - Ancient Beast,i get what plasma is but i don't see it decreasing when i hit the enemy player.. is that the bug you mentioned?,fear
Freezing Moon - Ancient Beast,"so it's not really ideal for your Dark Priest to take hits, even if he gets shielded, as you lose summoning (materialization) potential and get closer to becoming vulnerable",sadness
Freezing Moon - Ancient Beast,that's not extremely important to be shown there,anger
Freezing Moon - Ancient Beast,"alright i gave the game a better look and i think it's got a ton of potential, and the code seems pretty decent as well - I would expect it to be a lot more disorganized to be honest, considering the hexagon shapes and all. it probably needs a lot of love to reach it's potential though, from bug squashing to computer ai, multiplayer and so on... i still have a lot to learn though so maybe i'm judging things too fast",joy
Freezing Moon - Ancient Beast,but i think im ready to try and code some of those upgrades now :),joy
Freezing Moon - Ancient Beast,good ^^,joy
Freezing Moon - Ancient Beast,"some of the Abolished's ability coding could get clean-up for sure, lots of nested if statements that aren't even required anymore, legacy logic",sadness
Freezing Moon - Ancient Beast,and that's usually the first file people tend to check out and get intimidated,sadness
Freezing Moon - Ancient Beast,"I'm constantly improving things, so if I keep at it, things should scale nicely for sure",joy
Freezing Moon - Ancient Beast,"i saw a bit of that, but mostly a code organization issue, not a design problem.. anyway just my first impression of the code base... looks pretty decent to me even with that",joy
Freezing Moon - Ancient Beast,"the guy who coded it is quite amazing, he's a really great artist and wants to pursue that path, so he'll be able to rejoin a bit later on when the focus is primarily on eye candy and animation",love
Freezing Moon - Ancient Beast,you're both from same country :D,joy
Freezing Moon - Ancient Beast,"@DreadKnight wonders how to get nickname autocompletion around, tab key not working hmm",fear
Freezing Moon - Ancient Beast,"Right now I'm trying to fix my profile picture. I did change it, but it still shows me the default one",sadness
Freezing Moon - Ancient Beast,it looks pretty good as-is nowaday as well! sure it's not the most beautiful game in the world but it's really above average.. have u guys put any though on how ai and network play should be done in the future (sorry if I am afk focusing on hacking stuff),joy
Freezing Moon - Ancient Beast,Which is a weird polygon of some sorts,sadness
Freezing Moon - Ancient Beast,@tukkek tries to change @Zephyrum  avatar by force but fails,sadness
Freezing Moon - Ancient Beast,"@Zephyrum yeah, it is kinda weird, it might update later on, as they have some server caching",sadness
Freezing Moon - Ancient Beast,"argh, I can never get quotes to work properly",sadness
Freezing Moon - Ancient Beast,"Still trying to get used to this chat, it's sort of  uncommon",sadness
Freezing Moon - Ancient Beast,"omg bbq, I can't get quotes to work like that for me ",fear
Freezing Moon - Ancient Beast,"> omg bbq, I can't get quotes to work like that for me ",fear
Freezing Moon - Ancient Beast,"> omg bbq, I can't get quotes to work like that for me \n\nI just click on the \Quote\ chat option",fear
Freezing Moon - Ancient Beast,"yes, but what to do after? ctrl + enter and then type?",fear
Freezing Moon - Ancient Beast,"tried that before, meh",sadness
Freezing Moon - Ancient Beast,"> yes, but what to do after? ctrl + enter and then type? bacon",fear
Freezing Moon - Ancient Beast,^ bad.,sadness
Freezing Moon - Ancient Beast,"> Shift-enter, as if typing a new paragraph\nbacon, works!",anger
Freezing Moon - Ancient Beast,> This is a fake quote.,sadness
Freezing Moon - Ancient Beast,fail,sadness
Freezing Moon - Ancient Beast,> Will not work\nLike this,anger
Freezing Moon - Ancient Beast,"true, it's how markdown works, forgot",sadness
Freezing Moon - Ancient Beast,haha,joy
Freezing Moon - Ancient Beast,seems you're better at this compared to me,love
Freezing Moon - Ancient Beast,too much shitposting on forums; learned how to get used to weird formatting,anger
Freezing Moon - Ancient Beast,"@Zephyrum woot! so i need to start with @ to mention someone, like on twitter / fb",sadness
Freezing Moon - Ancient Beast,"This smileys/emoticons roster is pretty weird, why does anyone need a \large blue circle\ in a conversation is beyond me",anger
Freezing Moon - Ancient Beast,"ahahahaha ikr, maybe it's useful for doing bullet lists or indicating status of something",joy
Freezing Moon - Ancient Beast,yea i guess if network play is ready the ai is not that important anyway! do you guys have any idea how to print a variable value for debugging pruporses? window.alert doesn't seem to work,fear
Freezing Moon - Ancient Beast,more importantly when I run  `grunt` does it launch the version under the folder \development\?,fear
Freezing Moon - Ancient Beast,@tukkek yes! grunt is all about the development atm,joy
Freezing Moon - Ancient Beast,"will try to make that more clear, I see how \stable\ vs development can be confusing, setting more stuff into place with time related to that",sadness
Freezing Moon - Ancient Beast,that would be awesome! i guess the design is already pretty good for a gamepad huh.. i wanted to add gamepad support for javelin but there is so many commands it's not really possible,joy
Freezing Moon - Ancient Beast,"@Zephyrum yeah, constantly thinking of that, but current engine doesn't do 3d, which will be required xD so I'm guessing there will be a port eventually",sadness
Freezing Moon - Ancient Beast,"there is so much that can be done with this game, im getting pretty hyped here.. somebody hold me please xD",joy
Freezing Moon - Ancient Beast,voice recognition: please let me summon creatures by shouting their names like a bad-ass xD,joy
Freezing Moon - Ancient Beast,"haha, a lot of people love mobas because they like clicking a lot, but those type of games don't scale uber well with a lot of tech tbh",joy
Freezing Moon - Ancient Beast,"yeah, hard to imagine a moba played with oculus for example.. unless you're just using it as an alternate screen that is attached to your face",anger
Freezing Moon - Ancient Beast,"there was a moba made for tablets... and supposedly optimized and bs... but the guys in the trailer were tapping the tablet screens like fucking morons, you would imagine the cracking in no time",anger
Freezing Moon - Ancient Beast,"I rage so much while playing on the PC, would probably just smash the tablet to pieces after a few dozen games tops",anger
Freezing Moon - Ancient Beast,It is not healthy for your phone,sadness
Freezing Moon - Ancient Beast,"maybe if someone made a 1st person view for mobas that would really put you in on the action but idk any that is like that... actually i saw one fps moba once but it wasnt that good, not even when compared to the classics",sadness
Freezing Moon - Ancient Beast,"played on a neighbour chick's phone a 3vs3 one and I was tapping all around yet still winning, it was pretty easy stuff overall",joy
Freezing Moon - Ancient Beast,"Smite is the closest to that, but honestly I can't see that working",sadness
Freezing Moon - Ancient Beast,"It kills your capacity to view your surroundings, you can literally only see what is in front of you",sadness
Freezing Moon - Ancient Beast,the fact the distributor for smite in here is shitty and does all they can to leech money effortlessly does not help >.>,anger
Freezing Moon - Ancient Beast,"sanity check: units can never have negative hp, right? once they reach 0 they're gone?",fear
Freezing Moon - Ancient Beast,most of the time you see your character's back mostly.... which is distracting,anger
Freezing Moon - Ancient Beast,"I was constantly pissing off the initial developer  because of stuff like that, but otherwise things would be too alike",sadness
Freezing Moon - Ancient Beast,"...I am playing a strategy game (EU4) right now, and the protestant reformation just started in Transylvania somehow. >.>",surprise
Freezing Moon - Ancient Beast,"@tukkek yeah but I'm a crappy programmer, can't manage to code AB gameplay properly for now, or things would have been way further ahead",sadness
Freezing Moon - Ancient Beast,"I wanted to convert Sweden to protestant, but the goddamn protestantism spawned on the other end of Europe. #ThanksGame",anger
Freezing Moon - Ancient Beast,"@Zephyrum haven't really played any of the civilization games myself :/ so many good old school games mentioned today that I haven't touched, only researched",sadness
Freezing Moon - Ancient Beast,(btw the abolished's drawing is so fabulours i can't handle it haha just look at it all flaming and stuff!),joy
Freezing Moon - Ancient Beast,"@tukkek if it's not blocked; don't recall if it's coded, but we had some corrections to the formula to avoid ending up with NaN and have playtest ruined thanks to badly coded effects and scenarios",sadness
Freezing Moon - Ancient Beast,> (btw the abolished's drawing is so fabulours i can't handle it haha just look at it all flaming and stuff!)\n\n^ perfect depiction of me when I first saw the drawings,joy
Freezing Moon - Ancient Beast,"good, cause he's a Pride creature after all, @tukkek - might even be might favorite unit xD",joy
Freezing Moon - Ancient Beast,"hahaha i'm loving it. @DreadKnight  ok, this can be changed later as well, i was just wondering if i did my math wrong",joy
Freezing Moon - Ancient Beast,"And then it plays out with historical stuff and so on; empires powerful at the time like France and the turks tend to grow quickly while nations who fell like the byzantine empire dies early on; however, this game always finds a way to screw up history and have something stupid happen xD",joy
Freezing Moon - Ancient Beast,"Like appearently having Martin Luther be born in romania, but hey... It's still fun :p ",joy
Freezing Moon - Ancient Beast,aww hungary converted transylvania back into catholic xd,surprise
Freezing Moon - Ancient Beast,"the most obnoxious possible spawns for protestantism ever in this game - transylvania, hungary, sweden and normandy, but nothing in germany...",anger
Freezing Moon - Ancient Beast,funny seeing different spellings of the same thing,surprise
Freezing Moon - Ancient Beast,"good, I'm confident you'll manage; he's most used after all, so it's important xD",love
Freezing Moon - Ancient Beast,it's almost done :),joy
Freezing Moon - Ancient Beast,@DreadKnight you're in the wrong neighborhood https://i.gyazo.com/75a78c223ed7aecdacc64f5bfaed976a.png,sadness
Freezing Moon - Ancient Beast,"Oh, nice; the chat inlines image links",joy
Freezing Moon - Ancient Beast,And doesn't crop it!,fear
Freezing Moon - Ancient Beast,"Yeah, nice upgrade compared to most IRC clients",joy
Freezing Moon - Ancient Beast,"@tukkek should have picked a harder one, haha; some of the other ones will probably intimidate some less chatty coders for sure",joy
Freezing Moon - Ancient Beast,"still wondering how the turks aren't snowballing into europe nor asia, but I'm not complaining :p ",surprise
